代码,日期,MA5,MA10,MA20,MA60,SMA差值5-20,SMA差值5-20(%),SMA差值5-10,多空排列,排列评分
518890,2025-06-27,7.4072,7.4567,7.4671,7.407233,-0.0599,-0.8022,-0.0495,震荡排列,0.0
518890,2025-06-26,7.4276,7.4834,7.4658,7.400867,-0.0382,-0.5117,-0.0558,方向分化,0.0
518890,2025-06-25,7.4398,7.4931,7.46445,7.390967,-0.02465,-0.3302,-0.0533,方向分化,0.0
518890,2025-06-24,7.461,7.4964,7.4629,7.381017,-0.0019,-0.0255,-0.0354,方向分化,0.0
518890,2025-06-23,7.4858,7.5007,7.4661,7.3711,0.0197,0.2639,-0.0149,震荡排列,0.0
518890,2025-06-20,7.5062,7.4949,7.4656,7.36005,0.0406,0.5438,0.0113,震荡排列,0.0
518890,2025-06-19,7.5392,7.5,7.4669,7.349267,0.0723,0.9683,0.0392,长期温和多头排列,0.48
518890,2025-06-18,7.5464,7.5018,7.46615,7.338417,0.08025,1.0749,0.0446,长期温和多头排列,0.48
518890,2025-06-17,7.5318,7.4985,7.4516,7.32665,0.0802,1.0763,0.0333,长期温和多头排列,0.48
518890,2025-06-16,7.5156,7.4968,7.438,7.313833,0.0776,1.0433,0.0188,长期温和多头排列,0.48
518890,2025-06-13,7.4836,7.4775,7.41925,7.299117,0.06435,0.8673,0.0061,震荡排列,0.0
518890,2025-06-12,7.4608,7.4482,7.3928,7.28385,0.068,0.9198,0.0126,震荡排列,0.0
518890,2025-06-11,7.4572,7.4358,7.3819,7.268583,0.0753,1.0201,0.0214,长期温和多头排列,0.48
518890,2025-06-10,7.4652,7.4294,7.3771,7.2536,0.0881,1.1942,0.0358,长期温和多头排列,0.48
518890,2025-06-09,7.478,7.4315,7.3752,7.238633,0.1028,1.3939,0.0465,长期温和多头排列,0.48
518890,2025-06-06,7.4714,7.4363,7.3819,7.224417,0.0895,1.2124,0.0351,长期温和多头排列,0.48
518890,2025-06-05,7.4356,7.4338,7.38605,7.20865,0.04955,0.6709,0.0018,震荡排列,0.0
518890,2025-06-04,7.4144,7.4305,7.39585,7.192917,0.01855,0.2508,-0.0161,方向分化,0.0
518890,2025-06-03,7.3936,7.4047,7.4031,7.177617,-0.0095,-0.1283,-0.0111,震荡排列,0.0
518890,2025-05-30,7.385,7.3792,7.40265,7.161267,-0.01765,-0.2384,0.0058,震荡排列,0.0
